year;month;state;type_of_producer;energy_source;generation_mwh;date
2007;2;DC;Electric Generators, Independent Power Producers;Total;2682;01/02/2007
2007;3;DC;Total Electric Power Industry;Petroleum;-239;01/03/2007
2007;3;DC;Total Electric Power Industry;Total;-239;01/03/2007
2007;3;DC;Electric Generators, Independent Power Producers;Petroleum;-239;01/03/2007
2007;3;DC;Electric Generators, Independent Power Producers;Total;-239;01/03/2007
2007;4;DC;Total Electric Power Industry;Petroleum;-316;01/04/2007
2007;4;DC;Total Electric Power Industry;Total;-316;01/04/2007
2007;4;DC;Electric Generators, Independent Power Producers;Petroleum;-316;01/04/2007
2007;4;DC;Electric Generators, Independent Power Producers;Total;-316;01/04/2007
2007;5;DC;Total Electric Power Industry;Petroleum;-318;01/05/2007
2007;5;DC;Total Electric Power Industry;Total;-318;01/05/2007
2007;5;DC;Electric Generators, Independent Power Producers;Petroleum;-318;01/05/2007
2007;5;DC;Electric Generators, Independent Power Producers;Total;-318;01/05/2007
2007;6;DC;Total Electric Power Industry;Petroleum;14143;01/06/2007
2007;6;DC;Total Electric Power Industry;Total;14143;01/06/2007
2007;6;DC;Electric Generators, Independent Power Producers;Petroleum;14143;01/06/2007
2007;6;DC;Electric Generators, Independent Power Producers;Total;14143;01/06/2007
2007;7;DC;Total Electric Power Industry;Petroleum;11312;01/07/2007
2007;7;DC;Total Electric Power Industry;Total;11312;01/07/2007
2007;7;DC;Electric Generators, Independent Power Producers;Petroleum;11312;01/07/2007
2007;7;DC;Electric Generators, Independent Power Producers;Total;11312;01/07/2007
2007;8;DC;Total Electric Power Industry;Petroleum;40581;01/08/2007
2007;8;DC;Total Electric Power Industry;Total;40581;01/08/2007
2007;8;DC;Electric Generators, Independent Power Producers;Petroleum;40581;01/08/2007
2007;8;DC;Electric Generators, Independent Power Producers;Total;40581;01/08/2007
2007;9;DC;Total Electric Power Industry;Petroleum;5516;01/09/2007
2007;9;DC;Total Electric Power Industry;Total;5516;01/09/2007
2007;9;DC;Electric Generators, Independent Power Producers;Petroleum;5516;01/09/2007
2007;9;DC;Electric Generators, Independent Power Producers;Total;5516;01/09/2007
2007;10;DC;Total Electric Power Industry;Petroleum;3636;01/10/2007
2007;10;DC;Total Electric Power Industry;Total;3636;01/10/2007
2007;10;DC;Electric Generators, Independent Power Producers;Petroleum;3636;01/10/2007
2007;10;DC;Electric Generators, Independent Power Producers;Total;3636;01/10/2007
2007;11;DC;Total Electric Power Industry;Petroleum;-707;01/11/2007
2007;11;DC;Total Electric Power Industry;Total;-707;01/11/2007
2007;11;DC;Electric Generators, Independent Power Producers;Petroleum;-707;01/11/2007
2007;11;DC;Electric Generators, Independent Power Producers;Total;-707;01/11/2007
2007;12;DC;Total Electric Power Industry;Petroleum;-521;01/12/2007
2007;12;DC;Total Electric Power Industry;Total;-521;01/12/2007
2007;12;DC;Electric Generators, Independent Power Producers;Petroleum;-521;01/12/2007
2007;12;DC;Electric Generators, Independent Power Producers;Total;-521;01/12/2007
2008;1;DC;Total Electric Power Industry;Petroleum;2997;01/01/2008
2008;1;DC;Total Electric Power Industry;Total;2997;01/01/2008
2008;1;DC;Electric Generators, Independent Power Producers;Petroleum;2997;01/01/2008
2008;1;DC;Electric Generators, Independent Power Producers;Total;2997;01/01/2008
2008;2;DC;Total Electric Power Industry;Petroleum;1258;01/02/2008
2008;2;DC;Total Electric Power Industry;Total;1258;01/02/2008
2008;2;DC;Electric Generators, Independent Power Producers;Petroleum;1258;01/02/2008
2008;2;DC;Electric Generators, Independent Power Producers;Total;1258;01/02/2008
2008;3;DC;Total Electric Power Industry;Petroleum;401;01/03/2008
2008;3;DC;Total Electric Power Industry;Total;401;01/03/2008
2008;3;DC;Electric Generators, Independent Power Producers;Petroleum;401;01/03/2008
2008;3;DC;Electric Generators, Independent Power Producers;Total;401;01/03/2008
2008;4;DC;Total Electric Power Industry;Petroleum;0;01/04/2008
2008;4;DC;Total Electric Power Industry;Total;0;01/04/2008
2008;4;DC;Electric Generators, Independent Power Producers;Petroleum;0;01/04/2008
2008;4;DC;Electric Generators, Independent Power Producers;Total;0;01/04/2008
2008;5;DC;Total Electric Power Industry;Petroleum;0;01/05/2008
2008;5;DC;Total Electric Power Industry;Total;0;01/05/2008
2008;5;DC;Electric Generators, Independent Power Producers;Petroleum;0;01/05/2008
2008;5;DC;Electric Generators, Independent Power Producers;Total;0;01/05/2008
2008;6;DC;Total Electric Power Industry;Petroleum;50119;01/06/2008
2008;6;DC;Total Electric Power Industry;Total;50119;01/06/2008
2008;6;DC;Electric Generators, Independent Power Producers;Petroleum;50119;01/06/2008
2008;6;DC;Electric Generators, Independent Power Producers;Total;50119;01/06/2008
2008;7;DC;Total Electric Power Industry;Petroleum;8742;01/07/2008
2008;7;DC;Total Electric Power Industry;Total;8742;01/07/2008
2008;7;DC;Electric Generators, Independent Power Producers;Petroleum;8742;01/07/2008
2008;7;DC;Electric Generators, Independent Power Producers;Total;8742;01/07/2008
2008;8;DC;Total Electric Power Industry;Petroleum;5479;01/08/2008
2008;8;DC;Total Electric Power Industry;Total;5479;01/08/2008
2008;8;DC;Electric Generators, Independent Power Producers;Petroleum;5479;01/08/2008
2008;8;DC;Electric Generators, Independent Power Producers;Total;5479;01/08/2008
2008;9;DC;Total Electric Power Industry;Petroleum;579;01/09/2008
2008;9;DC;Total Electric Power Industry;Total;579;01/09/2008
2008;9;DC;Electric Generators, Independent Power Producers;Petroleum;579;01/09/2008
2008;9;DC;Electric Generators, Independent Power Producers;Total;579;01/09/2008
2008;10;DC;Total Electric Power Industry;Petroleum;2741;01/10/2008
2008;10;DC;Total Electric Power Industry;Total;2741;01/10/2008
2008;10;DC;Electric Generators, Independent Power Producers;Petroleum;2741;01/10/2008
2008;10;DC;Electric Generators, Independent Power Producers;Total;2741;01/10/2008
2008;11;DC;Total Electric Power Industry;Petroleum;0;01/11/2008
2008;11;DC;Total Electric Power Industry;Total;0;01/11/2008
2008;11;DC;Electric Generators, Independent Power Producers;Petroleum;0;01/11/2008
2008;11;DC;Electric Generators, Independent Power Producers;Total;0;01/11/2008
2008;12;DC;Total Electric Power Industry;Petroleum;0;01/12/2008
2008;12;DC;Total Electric Power Industry;Total;0;01/12/2008
2008;12;DC;Electric Generators, Independent Power Producers;Petroleum;0;01/12/2008
2008;12;DC;Electric Generators, Independent Power Producers;Total;0;01/12/2008
2009;1;DC;Total Electric Power Industry;Petroleum;5803;01/01/2009
